Position,X_Coordinate,Y_Coordinate
1,30.087094687317766,0.0625272492207262
2,28.83939576779047,0.0
3,24.743053723483314,0.0
4,28.04233723868698,0.0
5,23.194915417617143,0.0
6,20.670941919170527,0.0
7,20.673112262639957,0.0
8,17.111169035556532,0.0
9,10.343243243243242,0.0
10,9.232570847972397,0.0
11,9.735605444849512,0.0
12,9.18163468052173,0.0
13,9.072700699331463,-0.03528367053970214
14,9.084670714277035,-0.02228992912378557
15,8.609265358303889,-2.0821021680067653
16,1.971252682003258,-7.382816741172116
17,3.221351529191358,10.771800218138079
18,1.6598997057571652,14.134897227336074
19,-0.891121558785886,14.221768314033637
20,0.0,16.840513307065624
21,0.0,16.18905306058094
22,0.0,16.09721182433653
23,0.0,15.861206701159423
24,0.0,16.17020546029033
25,0.0,15.896176010005034
26,0.0,15.97515592588995
27,0.0,28.703786647174816
28,0.0,25.963844801993993
29,0.0,30.76923470002984
30,0.0,30.72320299277602
31,0.0,30.912147067355534
32,0.0003215111848112018,30.784960614804216
33,0.0,30.71180069507483
34,0.0002866140373872593,30.869407845346682
35,0.012166699086459773,39.736013491622636
36,0.0,42.64256334478664
37,0.0,43.96145858704581
38,0.00911434123258277,44.15619079576996
39,0.0,44.11845532920628
40,0.0023024783783307805,44.195196800806876
41,0.21694212554524556,44.59657743615239
42,2.1637970456625157,48.95115768950122
43,3.5312304346543093,52.14172055418764
44,4.503188725705716,55.64003830637711
45,4.728496197588415,55.77471306413929
46,5.989243256553904,56.0
47,5.844875835265796,56.0
48,6.600551235931567,56.00000000000001
49,6.3526674982270785,56.0
50,12.6168435254215,56.0
51,13.679213969974848,55.99999999999999
52,14.093825949951395,55.99999999999999
53,20.529449364348412,56.0
54,23.489071507784942,56.0
55,25.30229439824329,56.0
56,25.419832856030215,56.00000000000001
57,25.63107236585121,56.0
58,24.83636067834222,55.99999999999999
59,25.484342896265993,55.99999999999999
